"Note: Extra time is compared against the fastest machine for 10,000 sheets."
Die,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6
76407,75 (26181) - fastest,110WP (22496) - +0h 4m,DIANA (18828) - +0h 9m,,,
76422,INT (58000) - fastest,,,,,
76423,110WP (33524) - fastest,,,,,
76439,FLAT (4882) - fastest,,,,,
76445,110WP (27795) - fastest,DIANA (18945) - +0h 10m,,,,
76453,DIANA (13008) - fastest,110WP (12980) - +0h 0m,115D (12040) - +0h 4m,,,
76459,115D (3389) - fastest,ALPINA (3058) - +0h 19m,,,,
76463,75 (19656) - fastest,110WP (19040) - +0h 1m,DIANA (17521) - +0h 4m,,,
76469,115D (11381) - fastest,DIANA (9966) - +0h 7m,110WP (8428) - +0h 18m,ALPINA (6400) - +0h 41m,,
76475,75 (55087) - fastest,INT (45252) - +0h 2m,110WP (29749) - +0h 9m,,,
76481,INT (42162) - fastest,ALPINA (28695) - +0h 7m,,,,
76498,75 (35107) - fastest,INT (29749) - +0h 3m,ALPINA (25752) - +0h 6m,115D (19115) - +0h 14m,,
76504,ALPINA (25815) - fastest,,,,,
76524,DIANA (18031) - fastest,115D (15940) - +0h 4m,,,,
76533,FLAT (27352) - fastest,,,,,
76535,110WP (24545) - fastest,DIANA (21861) - +0h 3m,,,,
76537,75 (32601) - fastest,DIANA (18787) - +0h 14m,110WP (16809) - +0h 17m,,,
76557,75 (32823) - fastest,INT (23095) - +0h 8m,110WP (15592) - +0h 20m,DIANA (15217) - +0h 21m,115D (14644) - +0h 23m,ALPINA (13820) - +0h 25m
76560,110WP (29718) - fastest,,,,,
76566,FLAT (22620) - fastest,,,,,
76567,INT (35820) - fastest,110WP (26100) - +0h 6m,,,,
76592,110WP (33120) - fastest,INT (31118) - +0h 1m,ALPINA (23864) - +0h 7m,,,
76593,INT (47204) - fastest,,,,,
76594,110WP (23330) - fastest,DIANA (22790) - +0h 1m,,,,
76605,INT (53618) - fastest,110WP (41422) - +0h 3m,,,,
76639,115D (12773) - fastest,,,,,
76645,FLAT (16372) - fastest,,,,,
76647,110WP (23641) - fastest,DIANA (21180) - +0h 3m,,,,
76650,115D (15593) - fastest,ALPINA (14441) - +0h 3m,,,,
76651,115D (34354) - fastest,DIANA (29719) - +0h 3m,110WP (6667) - +1h 13m,,,
76679,FLAT (16874) - fastest,,,,,
76682,115D (21840) - fastest,,,,,
76692,INT (36943) - fastest,110WP (30821) - +0h 3m,DIANA (22315) - +0h 11m,,,
76693,110WP (7771) - fastest,ALPINA (7081) - +0h 8m,,,,
76700,FLAT (19602) - fastest,,,,,
76701,DIANA (13401) - fastest,INT (11457) - +0h 8m,110WP (10522) - +0h 12m,ALPINA (7734) - +0h 33m,,
76711,110WP (9333) - fastest,,,,,
76725,110WP (5460) - fastest,,,,,
76732,ALPINA (2500) - fastest,,,,,
76735,75 (22380) - fastest,110WP (17787) - +0h 7m,,,,
76751,110WP (12918) - fastest,ALPINA (12752) - +0h 1m,INT (11098) - +0h 8m,,,
76752,75 (24437) - fastest,115D (5200) - +1h 31m,,,,
76757,DIANA (19576) - fastest,,,,,
76764,110WP (22918) - fastest,ALPINA (19428) - +0h 5m,,,,
76766,110WP (10890) - fastest,,,,,
76767,INT (29850) - fastest,110WP (20027) - +0h 10m,,,,
76779,DIANA (32337) - fastest,110WP (26382) - +0h 4m,115D (22396) - +0h 8m,,,
76781,DIANA (27058) - fastest,ALPINA (24565) - +0h 2m,,,,
76782,110WP (35457) - fastest,DIANA (33169) - +0h 1m,INT (32094) - +0h 2m,115D (31003) - +0h 2m,ALPINA (20189) - +0h 13m,
76785,DIANA (20916) - fastest,ALPINA (18275) - +0h 4m,,,,
76788,75 (32185) - fastest,110WP (17500) - +0h 16m,DIANA (16679) - +0h 17m,,,
76799,110WP (15127) - fastest,ALPINA (14029) - +0h 3m,,,,
76805,DIANA (14913) - fastest,,,,,
76826,INT (59767) - fastest,,,,,
76828,INT (52732) - fastest,,,,,
76833,DIANA (18873) - fastest,,,,,
76839,DIANA (14878) - fastest,,,,,
76840,115D (14066) - fastest,,,,,
76847,ALPINA (1081) - fastest,,,,,
76851,DIANA (18622) - fastest,110WP (18029) - +0h 1m,ALPINA (16317) - +0h 5m,,,
76855,DIANA (15860) - fastest,,,,,
76856,DIANA (19461) - fastest,115D (17201) - +0h 4m,,,,
76858,DIANA (18549) - fastest,,,,,
76865,INT (32803) - fastest,110WP (30731) - +0h 1m,DGM (14545) - +0h 23m,,,
76879,No valid speed data,,,,,
Start Ê Prev Ê 1 Ê 2 Ê Next Ê End,No valid speed data,,,,,
